Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits,Capital Gains
2020-10-16 00:00:00+05:30,48.2,48.7,46.85,47.85,1368180,IBREALEST,,,
2020-10-19 00:00:00+05:30,48.2,48.6,47.45,47.65,1345725,IBREALEST,,,
2020-10-20 00:00:00+05:30,47.25,48.4,46.9,47.85,1426421,IBREALEST,,,
2020-10-21 00:00:00+05:30,48.3,51.85,47.8,50.65,3972089,IBREALEST,,,
2020-10-22 00:00:00+05:30,50.35,52.0,49.75,51.35,2577490,IBREALEST,,,
2020-10-23 00:00:00+05:30,51.8,52.1,50.5,50.85,1464957,IBREALEST,,,
2020-10-26 00:00:00+05:30,51.05,51.1,48.25,48.85,1555092,IBREALEST,,,
2020-10-27 00:00:00+05:30,48.4,50.9,48.2,50.25,1736707,IBREALEST,,,
2020-10-28 00:00:00+05:30,49.9,50.05,47.75,48.2,1531097,IBREALEST,,,
2020-10-29 00:00:00+05:30,47.6,48.35,47.15,47.85,863190,IBREALEST,,,
2020-10-30 00:00:00+05:30,47.6,49.0,46.75,47.65,1425201,IBREALEST,,,
2020-11-02 00:00:00+05:30,48.0,48.4,47.5,47.75,931399,IBREALEST,,,
2020-11-03 00:00:00+05:30,47.9,48.75,46.5,46.9,1127262,IBREALEST,,,
2020-11-04 00:00:00+05:30,46.75,47.9,46.3,47.2,1142640,IBREALEST,,,
2020-11-05 00:00:00+05:30,47.7,48.5,47.1,47.65,1198641,IBREALEST,,,
2020-11-06 00:00:00+05:30,47.55,49.7,47.55,48.25,1958372,IBREALEST,,,
2020-11-09 00:00:00+05:30,48.45,49.6,48.4,48.85,1362114,IBREALEST,,,
2020-11-10 00:00:00+05:30,49.45,49.45,48.0,48.35,1242611,IBREALEST,,,
2020-11-11 00:00:00+05:30,48.65,49.25,47.8,48.3,1071800,IBREALEST,,,
2020-11-12 00:00:00+05:30,48.45,57.95,48.15,55.1,24327920,IBREALEST,,,
2020-11-13 00:00:00+05:30,57.0,63.9,56.4,60.2,27352126,IBREALEST,,,
2020-11-14 00:00:00+05:30,63.0,64.7,61.85,63.25,8002698,IBREALEST,,,
2020-11-17 00:00:00+05:30,63.9,63.9,59.75,60.1,8191752,IBREALEST,,,
2020-11-18 00:00:00+05:30,59.5,62.7,58.15,60.95,6967951,IBREALEST,,,
2020-11-19 00:00:00+05:30,60.45,63.4,59.6,61.2,7428853,IBREALEST,,,
2020-11-20 00:00:00+05:30,61.75,61.95,60.5,61.0,2997359,IBREALEST,,,
2020-11-23 00:00:00+05:30,61.25,61.5,59.5,59.95,2356037,IBREALEST,,,
2020-11-24 00:00:00+05:30,60.3,62.6,59.8,60.85,4366609,IBREALEST,,,
2020-11-25 00:00:00+05:30,61.2,62.15,59.15,59.85,3831527,IBREALEST,,,
2020-11-26 00:00:00+05:30,60.2,61.0,59.4,60.55,3155429,IBREALEST,,,
2020-11-27 00:00:00+05:30,60.8,66.75,60.75,64.75,11658537,IBREALEST,,,
2020-12-01 00:00:00+05:30,65.1,70.95,65.05,69.7,12434966,IBREALEST,,,
2020-12-02 00:00:00+05:30,70.5,71.5,67.2,68.3,5248008,IBREALEST,,,
2020-12-03 00:00:00+05:30,68.65,72.4,68.5,70.45,6773312,IBREALEST,,,
2020-12-04 00:00:00+05:30,71.2,71.7,67.5,69.1,3886545,IBREALEST,,,
2020-12-07 00:00:00+05:30,68.75,72.0,68.65,71.5,8211939,IBREALEST,,,
2020-12-08 00:00:00+05:30,71.8,72.25,67.55,69.55,5433221,IBREALEST,,,
2020-12-09 00:00:00+05:30,70.0,70.75,68.15,68.85,4101030,IBREALEST,,,
2020-12-10 00:00:00+05:30,68.8,69.3,65.25,67.15,3531542,IBREALEST,,,
2020-12-11 00:00:00+05:30,67.5,69.45,66.3,68.0,3685135,IBREALEST,,,
2020-12-14 00:00:00+05:30,68.25,69.5,68.2,68.65,3384102,IBREALEST,,,
2020-12-15 00:00:00+05:30,68.7,69.0,67.15,68.65,2459765,IBREALEST,,,
2020-12-16 00:00:00+05:30,69.55,80.05,68.85,76.3,28954893,IBREALEST,,,
2020-12-17 00:00:00+05:30,77.0,79.5,74.6,75.0,10102760,IBREALEST,,,
2020-12-18 00:00:00+05:30,74.9,75.8,71.95,73.05,4984390,IBREALEST,,,
2020-12-21 00:00:00+05:30,72.6,75.8,63.1,67.15,8414941,IBREALEST,,,
2020-12-22 00:00:00+05:30,67.05,69.9,64.05,68.0,4469540,IBREALEST,,,
2020-12-23 00:00:00+05:30,68.5,72.45,67.7,71.15,6649573,IBREALEST,,,
2020-12-24 00:00:00+05:30,71.8,74.7,70.2,72.45,8110677,IBREALEST,,,
2020-12-28 00:00:00+05:30,73.4,82.35,73.0,78.35,17025823,IBREALEST,,,
2020-12-29 00:00:00+05:30,79.0,79.45,75.5,76.6,6720247,IBREALEST,,,
2020-12-30 00:00:00+05:30,76.6,80.85,74.7,79.3,7770515,IBREALEST,,,
2020-12-31 00:00:00+05:30,79.1,83.5,79.1,82.2,13404607,IBREALEST,,,
2021-01-01 00:00:00+05:30,81.35,83.25,80.0,80.65,6193754,IBREALEST,,,
2021-01-04 00:00:00+05:30,81.05,81.8,79.0,80.9,5625709,IBREALEST,,,
2021-01-05 00:00:00+05:30,80.15,80.9,77.5,78.9,6031441,IBREALEST,,,
2021-01-06 00:00:00+05:30,79.0,80.85,77.2,78.4,5918487,IBREALEST,,,
2021-01-07 00:00:00+05:30,82.0,91.75,81.2,89.55,52130617,IBREALEST,,,
2021-01-08 00:00:00+05:30,90.45,91.5,85.55,86.45,20735803,IBREALEST,,,
2021-01-11 00:00:00+05:30,86.6,87.35,83.45,84.4,7676370,IBREALEST,,,
2021-01-12 00:00:00+05:30,83.7,88.75,83.4,85.15,9914747,IBREALEST,,,
