Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits
2020-10-16 00:00:00+05:30,663.2904,666.3406,653.6073,656.3669,1292241,GODREJCP,,
2020-10-19 00:00:00+05:30,660.6759,668.1319,652.4453,665.3238,1826412,GODREJCP,,
2020-10-20 00:00:00+05:30,666.6794,670.5526,654.8176,669.0034,1195995,GODREJCP,,
2020-10-21 00:00:00+05:30,671.9084,679.3643,658.5457,664.7429,1474252,GODREJCP,,
2020-10-22 00:00:00+05:30,662.1768,663.2903,646.0061,650.4603,1683175,GODREJCP,,
2020-10-23 00:00:00+05:30,649.734,660.8212,647.2165,659.6592,1132236,GODREJCP,,
2020-10-26 00:00:00+05:30,664.2586,669.8748,645.9576,650.4603,1658171,GODREJCP,,
2020-10-27 00:00:00+05:30,652.639,666.5826,652.639,663.6292,1378308,GODREJCP,,
2020-10-28 00:00:00+05:30,667.5025,669.1002,651.5254,655.6892,875159,GODREJCP,,
2020-10-29 00:00:00+05:30,653.5105,665.6627,649.7825,663.0967,577060,GODREJCP,,
2020-10-30 00:00:00+05:30,664.2585,664.3553,640.0509,643.7304,1402334,GODREJCP,,
2020-11-02 00:00:00+05:30,643.7306,653.1232,632.8856,635.2579,1871847,GODREJCP,,
2020-11-03 00:00:00+05:30,639.0827,649.5404,637.3397,647.3617,741881,GODREJCP,,
2020-11-04 00:00:00+05:30,647.3617,658.013,644.2631,654.624,755755,GODREJCP,,
2020-11-05 00:00:00+05:30,658.4488,671.8114,638.1143,647.9911,2233167,GODREJCP,,
2020-11-06 00:00:00+05:30,649.9277,660.7727,642.3749,648.33,2705596,GODREJCP,,
2020-11-09 00:00:00+05:30,658.4488,670.0685,655.205,666.5342,1872686,GODREJCP,,
2020-11-10 00:00:00+05:30,672.925,672.925,650.896,655.5439,1546696,GODREJCP,,
2020-11-11 00:00:00+05:30,656.5123,668.7129,654.7693,667.0668,765078,GODREJCP,,
2020-11-12 00:00:00+05:30,666.1953,671.1821,659.5624,665.3723,977267,GODREJCP,,
2020-11-13 00:00:00+05:30,665.227,668.6161,656.8996,660.2886,578872,GODREJCP,,
2020-11-14 00:00:00+05:30,660.3853,668.1318,660.2885,663.9681,116788,GODREJCP,,
2020-11-17 00:00:00+05:30,664.2587,667.5993,654.043,657.5289,981089,GODREJCP,,
2020-11-18 00:00:00+05:30,656.5121,663.1935,651.9127,661.6926,1174650,GODREJCP,,
2020-11-19 00:00:00+05:30,659.4172,680.7199,658.5941,663.1936,2013582,GODREJCP,,
2020-11-20 00:00:00+05:30,667.0668,686.5298,664.3071,676.8467,2306191,GODREJCP,,
2020-11-23 00:00:00+05:30,682.6564,692.7752,679.0253,685.4161,1798703,GODREJCP,,
2020-11-24 00:00:00+05:30,688.7568,691.6617,682.366,685.8519,909867,GODREJCP,,
2020-11-25 00:00:00+05:30,689.1442,690.403,670.2138,674.1354,1419977,GODREJCP,,
2020-11-26 00:00:00+05:30,671.5211,681.6883,667.5026,678.8802,1064058,GODREJCP,,
2020-11-27 00:00:00+05:30,679.8484,696.7937,672.0051,677.5729,3483741,GODREJCP,,
2020-12-01 00:00:00+05:30,689.4347,692.8722,680.2842,683.2375,1328512,GODREJCP,,
2020-12-02 00:00:00+05:30,685.4646,696.4064,685.4646,695.1476,1642706,GODREJCP,,
2020-12-03 00:00:00+05:30,702.0226,702.0226,683.2374,689.6283,2822160,GODREJCP,,
2020-12-04 00:00:00+05:30,692.4363,696.1159,684.5931,687.498,1261160,GODREJCP,,
2020-12-07 00:00:00+05:30,689.4346,694.2762,684.0606,691.807,989380,GODREJCP,,
2020-12-08 00:00:00+05:30,694.2761,694.2761,679.0253,684.1089,1631504,GODREJCP,,
2020-12-09 00:00:00+05:30,686.5297,689.8704,680.9136,682.6081,1808585,GODREJCP,,
2020-12-10 00:00:00+05:30,683.6248,710.7374,677.1371,705.4601,4702971,GODREJCP,,
2020-12-11 00:00:00+05:30,712.4803,715.9663,693.8404,703.5719,2230739,GODREJCP,,
2020-12-14 00:00:00+05:30,708.8008,709.6723,699.2145,700.3281,939165,GODREJCP,,
2020-12-15 00:00:00+05:30,702.0226,703.7656,691.7101,699.8923,1192361,GODREJCP,,
2020-12-16 00:00:00+05:30,706.7673,706.8641,692.9689,697.8104,1186100,GODREJCP,,
2020-12-17 00:00:00+05:30,697.8105,709.6238,692.2427,696.4064,1244562,GODREJCP,,
2020-12-18 00:00:00+05:30,698.1494,702.0226,691.6133,697.3748,968461,GODREJCP,,
2020-12-21 00:00:00+05:30,696.2129,721.5825,661.4506,681.2041,4176481,GODREJCP,,
2020-12-22 00:00:00+05:30,682.8501,697.3747,672.0051,690.0156,2852158,GODREJCP,,
2020-12-23 00:00:00+05:30,694.2762,696.2128,683.6248,690.2093,1737539,GODREJCP,,
2020-12-24 00:00:00+05:30,693.6467,709.4302,693.6467,698.1494,1648257,GODREJCP,,
2020-12-28 00:00:00+05:30,701.7321,707.4451,696.9874,704.2013,1095161,GODREJCP,,
2020-12-29 00:00:00+05:30,708.8007,721.3403,705.4116,717.6607,1469463,GODREJCP,,
2020-12-30 00:00:00+05:30,721.3887,732.9116,714.9011,725.4072,2188175,GODREJCP,,
2020-12-31 00:00:00+05:30,728.167,731.0235,708.8008,716.6926,2150742,GODREJCP,,
2021-01-01 00:00:00+05:30,718.4838,723.1801,714.6106,715.5305,561444,GODREJCP,,
2021-01-04 00:00:00+05:30,716.6441,735.9135,710.9796,734.0737,1503343,GODREJCP,,
2021-01-05 00:00:00+05:30,734.0735,739.5445,723.6158,736.2038,1030289,GODREJCP,,
2021-01-06 00:00:00+05:30,738.8183,738.8183,715.1432,721.0983,2741990,GODREJCP,,
2021-01-07 00:00:00+05:30,728.1669,729.2805,708.0745,710.108,1504697,GODREJCP,,
2021-01-08 00:00:00+05:30,715.4821,728.4574,712.093,726.5692,2097317,GODREJCP,,
2021-01-11 00:00:00+05:30,730.7814,761.0894,729.1352,745.2091,5754681,GODREJCP,,
2021-01-12 00:00:00+05:30,749.276,753.3429,736.2038,738.0436,1713731,GODREJCP,,
2021-01-13 00:00:00+05:30,743.6598,749.4696,734.4609,746.129,1757075,GODREJCP,,
2021-01-14 00:00:00+05:30,750.2926,763.0259,739.4961,758.5717,2646805,GODREJCP,,
2021-01-15 00:00:00+05:30,758.4749,766.8992,745.5965,755.3763,2234134,GODREJCP,,
2021-01-18 00:00:00+05:30,755.1827,768.6421,743.8051,753.4882,2229603,GODREJCP,,
2021-01-19 00:00:00+05:30,756.9257,770.7725,755.2795,761.7672,1578963,GODREJCP,,
2021-01-20 00:00:00+05:30,764.8659,779.3905,760.3148,775.6625,1703250,GODREJCP,,
2021-01-21 00:00:00+05:30,779.2451,782.731,767.1413,772.1765,2156115,GODREJCP,,
2021-01-22 00:00:00+05:30,771.7407,775.614,760.7989,765.011,1548303,GODREJCP,,
2021-01-25 00:00:00+05:30,768.8358,780.4554,751.6967,754.5532,1651256,GODREJCP,,
2021-01-27 00:00:00+05:30,757.2162,761.864,740.755,749.4213,1028421,GODREJCP,,
2021-01-28 00:00:00+05:30,744.144,755.8605,742.4011,753.1977,837436,GODREJCP,,
2021-01-29 00:00:00+05:30,756.9256,757.2161,715.6273,721.0499,1584509,GODREJCP,,
2021-02-01 00:00:00+05:30,725.8914,738.3825,723.3254,729.0868,1051147,GODREJCP,,
2021-02-02 00:00:00+05:30,734.8967,746.0322,721.3888,724.1484,805564,GODREJCP,,
2021-02-03 00:00:00+05:30,721.3887,732.4274,719.9847,723.2285,1225017,GODREJCP,,
2021-02-04 00:00:00+05:30,722.1634,746.5648,721.6309,744.3861,1632180,GODREJCP,,
2021-02-05 00:00:00+05:30,745.5964,749.276,722.357,725.4072,859569,GODREJCP,,
2021-02-08 00:00:00+05:30,732.0401,737.2205,708.8008,712.093,2620168,GODREJCP,,
2021-02-09 00:00:00+05:30,708.8007,724.681,692.3395,720.0331,2419027,GODREJCP,,
