Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits
2020-10-16 00:00:00+05:30,465.4753,465.4753,435.3144,443.579,22982744,UPL,,
2020-10-19 00:00:00+05:30,451.0361,451.0361,425.1025,440.2542,13195978,UPL,,
2020-10-20 00:00:00+05:30,440.7767,444.2915,431.2297,433.1296,7254934,UPL,,
2020-10-21 00:00:00+05:30,436.8819,440.3017,424.39,431.4672,6312534,UPL,,
2020-10-22 00:00:00+05:30,430.1372,435.267,427.6674,431.7521,4495403,UPL,,
2020-10-23 00:00:00+05:30,435.5519,435.5519,427.4774,428.3798,3682002,UPL,,
2020-10-26 00:00:00+05:30,432.1796,432.1796,409.9033,411.7082,6279910,UPL,,
2020-10-27 00:00:00+05:30,413.2281,419.3078,407.8609,416.6004,4881972,UPL,,
2020-10-28 00:00:00+05:30,418.3103,431.7521,415.603,428.1898,7235494,UPL,,
2020-10-29 00:00:00+05:30,425.0075,432.7971,422.0151,427.7148,4598075,UPL,,
2020-10-30 00:00:00+05:30,429.2823,434.602,424.1051,430.5647,3684166,UPL,,
2020-11-02 00:00:00+05:30,441.7266,441.7266,410.0458,423.0601,10356782,UPL,,
2020-11-03 00:00:00+05:30,422.1576,427.0024,393.2791,396.1765,16512536,UPL,,
2020-11-04 00:00:00+05:30,394.8941,394.8941,379.0299,381.2623,19363947,UPL,,
2020-11-05 00:00:00+05:30,387.532,398.5989,384.8721,397.459,11470585,UPL,,
2020-11-06 00:00:00+05:30,400.3563,406.5785,396.889,401.2587,7614066,UPL,,
2020-11-09 00:00:00+05:30,405.2485,409.4283,402.9211,405.391,4271081,UPL,,
2020-11-10 00:00:00+05:30,408.5734,416.5529,405.201,411.1382,6424909,UPL,,
2020-11-11 00:00:00+05:30,407.5284,420.7802,407.5284,413.8931,7504886,UPL,,
2020-11-12 00:00:00+05:30,414.938,415.888,403.8236,408.0984,5511536,UPL,,
2020-11-13 00:00:00+05:30,407.5284,409.5233,401.8287,404.0611,4644051,UPL,,
2020-11-14 00:00:00+05:30,409.5708,409.5708,406.5785,407.7659,643619,UPL,,
2020-11-17 00:00:00+05:30,409.8083,412.7531,406.816,408.1459,5929010,UPL,,
2020-11-18 00:00:00+05:30,408.4784,408.4784,402.8261,404.9635,4415523,UPL,,
2020-11-19 00:00:00+05:30,404.5835,404.5835,394.2766,395.654,6331928,UPL,,
2020-11-20 00:00:00+05:30,395.6541,401.2588,386.202,399.3589,12763134,UPL,,
2020-11-23 00:00:00+05:30,401.8287,408.0034,400.2613,405.106,5172468,UPL,,
2020-11-24 00:00:00+05:30,406.5785,409.9033,405.1061,406.056,4538696,UPL,,
2020-11-25 00:00:00+05:30,407.3384,408.6209,396.699,397.649,4753592,UPL,,
2020-11-26 00:00:00+05:30,397.649,401.1638,393.4217,399.5013,3896795,UPL,,
2020-11-27 00:00:00+05:30,400.1188,404.2035,395.464,396.7939,7024437,UPL,,
2020-12-01 00:00:00+05:30,398.9788,412.4681,397.0789,411.3757,14928450,UPL,,
2020-12-02 00:00:00+05:30,420.5902,424.6275,415.5555,419.8303,14187495,UPL,,
2020-12-03 00:00:00+05:30,424.39,435.9319,415.603,431.9896,13251977,UPL,,
2020-12-04 00:00:00+05:30,435.9794,439.8267,429.8522,432.8921,7719922,UPL,,
2020-12-07 00:00:00+05:30,432.2271,454.2659,430.8496,452.1285,11443788,UPL,,
2020-12-08 00:00:00+05:30,457.1633,464.0504,445.9539,449.1362,15624166,UPL,,
2020-12-09 00:00:00+05:30,451.3211,470.2251,451.3211,467.9452,13836059,UPL,,
2020-12-10 00:00:00+05:30,454.0759,455.0258,395.274,416.5054,87279054,UPL,,
2020-12-11 00:00:00+05:30,433.177,433.9845,407.7184,413.2281,50283569,UPL,,
2020-12-14 00:00:00+05:30,411.3282,421.6827,410.1883,420.0203,14595495,UPL,,
2020-12-15 00:00:00+05:30,421.0652,427.2874,415.128,426.3374,9187569,UPL,,
2020-12-16 00:00:00+05:30,431.1347,438.4018,428.9023,436.6443,11503251,UPL,,
2020-12-17 00:00:00+05:30,438.3543,443.0565,430.5172,432.6071,7362825,UPL,,
2020-12-18 00:00:00+05:30,433.177,438.8767,431.2771,437.2618,5402464,UPL,,
2020-12-21 00:00:00+05:30,436.9769,437.6893,396.129,415.413,7376210,UPL,,
2020-12-22 00:00:00+05:30,415.413,423.4875,404.2511,422.3951,7910320,UPL,,
2020-12-23 00:00:00+05:30,422.2526,430.0422,416.3629,429.3297,3488991,UPL,,
2020-12-24 00:00:00+05:30,432.1321,433.747,425.5775,426.9074,4384445,UPL,,
2020-12-28 00:00:00+05:30,429.4247,434.602,428.4748,430.7072,3146922,UPL,,
2020-12-29 00:00:00+05:30,431.7521,436.0269,423.1076,431.9421,3781566,UPL,,
2020-12-30 00:00:00+05:30,440.7766,448.7562,438.1643,443.7215,21753642,UPL,,
2020-12-31 00:00:00+05:30,444.2915,445.0514,438.1168,443.0091,5429481,UPL,,
2021-01-01 00:00:00+05:30,446.3813,452.746,443.484,445.8114,7090451,UPL,,
2021-01-04 00:00:00+05:30,449.7062,451.2261,443.294,449.4687,3615832,UPL,,
2021-01-05 00:00:00+05:30,445.5263,448.8512,443.009,447.6637,3226777,UPL,,
2021-01-06 00:00:00+05:30,448.3288,457.7807,443.769,448.7562,5947103,UPL,,
2021-01-07 00:00:00+05:30,452.1761,462.1505,450.7037,458.3507,7025121,UPL,,
2021-01-08 00:00:00+05:30,460.7256,480.6745,460.5356,478.4421,16114942,UPL,,
2021-01-11 00:00:00+05:30,480.6745,483.4293,468.6101,472.5524,5666689,UPL,,
2021-01-12 00:00:00+05:30,469.9876,480.1996,466.6153,476.3998,5008167,UPL,,
2021-01-13 00:00:00+05:30,476.8747,480.4845,460.1556,467.0902,4694033,UPL,,
2021-01-14 00:00:00+05:30,469.3701,489.2241,468.3252,483.9044,15231242,UPL,,
2021-01-15 00:00:00+05:30,486.3267,501.4784,485.8042,496.3961,19836600,UPL,,
2021-01-18 00:00:00+05:30,498.6761,539.5714,497.7736,533.2067,37175310,UPL,,
2021-01-19 00:00:00+05:30,532.9218,542.3263,525.9397,535.7716,15094630,UPL,,
2021-01-20 00:00:00+05:30,534.8216,552.7281,528.6469,547.5034,10900743,UPL,,
2021-01-21 00:00:00+05:30,547.5034,564.2701,547.5034,555.293,11759051,UPL,,
2021-01-22 00:00:00+05:30,556.1006,562.8452,535.7717,538.574,10118222,UPL,,
2021-01-25 00:00:00+05:30,543.0862,563.3201,538.6214,558.7129,13563025,UPL,,
2021-01-27 00:00:00+05:30,558.713,571.0623,540.5214,545.5087,15463821,UPL,,
2021-01-28 00:00:00+05:30,540.5214,542.1363,529.312,537.1491,8146430,UPL,,
2021-01-29 00:00:00+05:30,541.3287,547.1709,529.1219,532.5892,9298672,UPL,,
2021-02-01 00:00:00+05:30,521.4274,521.4274,484.4743,507.3681,20250736,UPL,,
2021-02-02 00:00:00+05:30,513.9228,540.0464,513.9228,537.9565,13416792,UPL,,
2021-02-03 00:00:00+05:30,533.9667,550.9233,527.2221,530.3094,7268499,UPL,,
2021-02-04 00:00:00+05:30,530.7369,540.0939,517.0576,520.6199,6751111,UPL,,
2021-02-05 00:00:00+05:30,526.1296,526.1296,508.2231,509.648,6377789,UPL,,
2021-02-08 00:00:00+05:30,511.0729,518.6725,501.716,511.3579,8511429,UPL,,
2021-02-09 00:00:00+05:30,512.4978,528.172,508.7455,511.6428,9171011,UPL,,
2021-02-10 00:00:00+05:30,515.8227,519.1001,505.8008,507.6532,4446858,UPL,,
2021-02-11 00:00:00+05:30,503.6633,518.2925,503.6633,516.3452,5684777,UPL,,
2021-02-12 00:00:00+05:30,518.4825,519.9075,504.8983,508.983,3043562,UPL,,
2021-02-15 00:00:00+05:30,512.9728,516.7251,507.7956,510.5504,2569470,UPL,,
2021-02-16 00:00:00+05:30,515.4901,518.34,510.2179,511.9753,2976504,UPL,,
2021-02-17 00:00:00+05:30,499.0085,515.4426,499.0085,512.0228,2934589,UPL,,
2021-02-18 00:00:00+05:30,509.5054,528.7419,505.3732,513.9702,6399026,UPL,,
2021-02-19 00:00:00+05:30,515.7752,536.7215,512.4978,525.1321,16693854,UPL,,
2021-02-22 00:00:00+05:30,528.172,532.8743,509.6955,512.7354,7702962,UPL,,
2021-02-23 00:00:00+05:30,503.4733,541.4712,488.3216,538.0515,20867768,UPL,,
2021-02-24 00:00:00+05:30,519.6224,538.6214,518.6725,526.2246,7229614,UPL,,
2021-02-25 00:00:00+05:30,532.7317,567.1199,531.0218,563.3201,16764202,UPL,,
2021-02-26 00:00:00+05:30,555.7206,559.9004,527.6496,533.4443,11511171,UPL,,
2021-03-01 00:00:00+05:30,541.4713,563.0352,541.4713,561.0402,8570035,UPL,,
2021-03-02 00:00:00+05:30,572.8197,578.3294,551.1134,559.9479,10602015,UPL,,
2021-03-03 00:00:00+05:30,565.9801,585.9765,559.7104,582.8892,8740632,UPL,,
2021-03-04 00:00:00+05:30,571.8697,599.8457,569.1148,584.6465,14124256,UPL,,
2021-03-05 00:00:00+05:30,584.6466,585.0741,556.6705,561.9427,7517590,UPL,,
2021-03-08 00:00:00+05:30,570.9198,604.3581,569.9699,598.4209,14163149,UPL,,
2021-03-09 00:00:00+05:30,602.2681,605.7829,580.6567,593.6235,10566829,UPL,,
2021-03-10 00:00:00+05:30,599.0382,599.0382,581.8441,590.2037,5583509,UPL,,
2021-03-12 00:00:00+05:30,595.2385,601.2707,583.3641,589.2538,4994965,UPL,,
2021-03-15 00:00:00+05:30,592.1037,594.1461,574.1972,590.2513,5438310,UPL,,
2021-03-16 00:00:00+05:30,593.766,607.5403,585.6914,589.2062,8396917,UPL,,
2021-03-17 00:00:00+05:30,592.4362,595.476,574.7196,578.7094,4503677,UPL,,
2021-03-18 00:00:00+05:30,586.7365,591.6287,564.3176,571.2048,6154177,UPL,,
2021-03-19 00:00:00+05:30,568.0699,597.4234,556.8605,594.1461,8322870,UPL,,
2021-03-22 00:00:00+05:30,593.671,605.0229,586.7363,596.7108,6196079,UPL,,
2021-03-23 00:00:00+05:30,591.3436,611.7201,589.9187,601.6506,5999369,UPL,,
2021-03-24 00:00:00+05:30,593.7185,604.5479,576.6194,578.3768,4832842,UPL,,
2021-03-25 00:00:00+05:30,582.3191,587.3064,561.8952,565.8375,10648953,UPL,,
2021-03-26 00:00:00+05:30,575.6695,575.6695,551.9208,556.1006,7778619,UPL,,
2021-03-30 00:00:00+05:30,567.12,602.8856,561.4203,596.5209,14663780,UPL,,
2021-03-31 00:00:00+05:30,591.8187,621.2671,589.0638,609.7252,15862803,UPL,,
2021-04-01 00:00:00+05:30,608.8703,624.022,603.218,620.8871,7348750,UPL,,
2021-04-05 00:00:00+05:30,617.4672,631.479,599.9881,613.9049,9077724,UPL,,
2021-04-06 00:00:00+05:30,615.5674,635.3738,612.7176,628.2492,7227685,UPL,,
2021-04-07 00:00:00+05:30,626.9668,640.2186,619.7472,621.6946,4948757,UPL,,
2021-04-08 00:00:00+05:30,624.1169,631.3365,617.4673,618.9872,3926359,UPL,,
2021-04-09 00:00:00+05:30,623.167,623.167,599.1332,603.123,4995747,UPL,,
2021-04-12 00:00:00+05:30,593.7185,596.2359,552.3957,560.0428,5954644,UPL,,
2021-04-13 00:00:00+05:30,564.27,587.5438,559.5203,574.3395,10046450,UPL,,
2021-04-15 00:00:00+05:30,580.4192,592.6736,567.5,576.9519,7395673,UPL,,
2021-04-16 00:00:00+05:30,579.4693,587.8288,571.8697,581.1317,3577455,UPL,,
2021-04-19 00:00:00+05:30,565.315,572.8196,557.6204,567.5474,3198847,UPL,,
