Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits
2020-10-16 00:00:00+05:30,116.7557,121.903,116.2587,120.6783,26906266,BPCL,,
2020-10-19 00:00:00+05:30,122.116,123.465,121.0688,123.0567,14750554,BPCL,,
2020-10-20 00:00:00+05:30,122.8083,124.1572,121.2818,121.8853,10486228,BPCL,,
2020-10-21 00:00:00+05:30,127.9733,128.8786,122.5065,124.0862,34108526,BPCL,,
2020-10-22 00:00:00+05:30,123.7845,124.5299,122.116,124.0152,11658856,BPCL,,
2020-10-23 00:00:00+05:30,124.2105,126.1452,124.0685,124.7962,10095206,BPCL,,
2020-10-26 00:00:00+05:30,124.7962,125.5594,121.6013,122.8615,10164184,BPCL,,
2020-10-27 00:00:00+05:30,122.826,124.2105,121.4238,123.7667,8717246,BPCL,,
2020-10-28 00:00:00+05:30,123.6247,124.104,121.5658,122.6308,7743220,BPCL,,
2020-10-29 00:00:00+05:30,122.116,123.3585,120.0571,121.3351,14722436,BPCL,,
2020-10-30 00:00:00+05:30,122.4178,127.6006,121.9385,125.8256,33648648,BPCL,,
2020-11-02 00:00:00+05:30,125.5949,125.8966,122.3823,122.968,8690720,BPCL,,
2020-11-03 00:00:00+05:30,123.7135,126.5534,123.7135,124.5477,13322292,BPCL,,
2020-11-04 00:00:00+05:30,124.4235,125.2932,122.187,123.8377,8101954,BPCL,,
2020-11-05 00:00:00+05:30,125.9144,130.902,124.4945,130.0323,27315846,BPCL,,
2020-11-06 00:00:00+05:30,130.6358,131.3635,128.2573,128.6656,11623324,BPCL,,
2020-11-09 00:00:00+05:30,130.7245,134.8956,129.7483,133.3159,23414854,BPCL,,
2020-11-10 00:00:00+05:30,133.4757,136.6528,132.1089,135.8896,16074814,BPCL,,
2020-11-11 00:00:00+05:30,135.8896,141.4274,135.4636,139.8654,22991936,BPCL,,
2020-11-12 00:00:00+05:30,140.2204,140.5399,137.416,140.0962,13222638,BPCL,,
2020-11-13 00:00:00+05:30,139.0845,142.1374,136.0316,139.8654,19115708,BPCL,,
2020-11-14 00:00:00+05:30,141.1256,147.3025,140.3092,146.557,16811038,BPCL,,
2020-11-17 00:00:00+05:30,147.3202,147.3202,139.191,140.0962,44296492,BPCL,,
