Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits
2020-10-16 00:00:00+05:30,150.6074,158.5722,148.4352,156.931,12349164,DLF,,
2020-10-19 00:00:00+05:30,158.5239,162.0477,156.1586,159.0066,12902014,DLF,,
2020-10-20 00:00:00+05:30,158.4274,163.3511,157.6068,161.6616,15771594,DLF,,
2020-10-21 00:00:00+05:30,162.3856,168.1782,159.3445,166.1508,18718295,DLF,,
2020-10-22 00:00:00+05:30,167.7438,169.0471,164.8958,166.537,15889305,DLF,,
2020-10-23 00:00:00+05:30,167.3576,167.9852,164.7027,165.3785,8487199,DLF,,
2020-10-26 00:00:00+05:30,166.9232,166.9232,158.8618,160.4548,9246577,DLF,,
2020-10-27 00:00:00+05:30,160.5513,161.4202,158.0895,159.3928,8439659,DLF,,
2020-10-28 00:00:00+05:30,159.4411,160.2617,149.835,150.6074,15046056,DLF,,
2020-10-29 00:00:00+05:30,149.5454,150.8005,145.3941,147.8076,14280083,DLF,,
2020-10-30 00:00:00+05:30,147.8076,153.7933,147.2284,152.8279,15148639,DLF,,
2020-11-02 00:00:00+05:30,154.7587,164.9923,151.2349,159.1032,29960943,DLF,,
2020-11-03 00:00:00+05:30,159.1032,163.1097,157.0758,157.9929,10843695,DLF,,
2020-11-04 00:00:00+05:30,157.9929,158.9583,154.5174,157.1723,8663963,DLF,,
2020-11-05 00:00:00+05:30,159.3445,161.5168,158.5239,160.0686,13322658,DLF,,
2020-11-06 00:00:00+05:30,159.9721,163.3994,159.0066,162.096,10144658,DLF,,
2020-11-09 00:00:00+05:30,164.0269,168.6127,163.2545,166.8266,12011067,DLF,,
2020-11-10 00:00:00+05:30,168.5162,175.6604,166.0543,174.2605,15500699,DLF,,
2020-11-11 00:00:00+05:30,173.295,177.4464,171.1711,176.5775,15718886,DLF,,
2020-11-12 00:00:00+05:30,175.7086,179.329,173.0054,176.3361,13342624,DLF,,
2020-11-13 00:00:00+05:30,176.5775,179.3773,174.3087,178.267,10070735,DLF,,
2020-11-14 00:00:00+05:30,179.4738,180.3427,176.674,178.2187,1702545,DLF,,
2020-11-17 00:00:00+05:30,179.0393,184.1079,177.6395,181.8391,13319247,DLF,,
2020-11-18 00:00:00+05:30,185.8456,187.7765,179.86,184.1561,21293362,DLF,,
2020-11-19 00:00:00+05:30,183.3355,193.907,176.3844,178.5084,32676477,DLF,,
2020-11-20 00:00:00+05:30,180.5358,182.4666,173.7778,175.6603,12984806,DLF,,
2020-11-23 00:00:00+05:30,177.5912,180.9219,174.8397,179.6669,11222797,DLF,,
2020-11-24 00:00:00+05:30,181.5012,184.7837,179.8117,182.9493,11941881,DLF,,
2020-11-25 00:00:00+05:30,184.5906,184.5906,175.8052,176.5292,12845778,DLF,,
2020-11-26 00:00:00+05:30,177.5912,180.0048,173.4399,178.0739,10173802,DLF,,
2020-11-27 00:00:00+05:30,177.6395,183.3355,177.6395,180.7288,16434212,DLF,,
2020-12-01 00:00:00+05:30,185.3629,190.6728,183.0459,188.3558,19225092,DLF,,
2020-12-02 00:00:00+05:30,188.0179,195.3069,187.2938,193.907,16010211,DLF,,
2020-12-03 00:00:00+05:30,195.0172,197.8653,192.2175,195.9827,14752672,DLF,,
2020-12-04 00:00:00+05:30,196.6585,204.9129,196.031,203.9958,21352652,DLF,,
2020-12-07 00:00:00+05:30,203.7061,203.9958,198.5411,200.9547,9525344,DLF,,
2020-12-08 00:00:00+05:30,200.6168,204.0441,197.1895,199.3617,10544417,DLF,,
2020-12-09 00:00:00+05:30,200.7133,206.5541,199.2169,204.8646,12745554,DLF,,
2020-12-10 00:00:00+05:30,205.9749,211.9123,200.4719,210.3676,14237563,DLF,,
2020-12-11 00:00:00+05:30,210.8021,213.8432,205.4439,211.2365,21193126,DLF,,
2020-12-14 00:00:00+05:30,210.7055,211.0917,204.9612,206.1197,7492250,DLF,,
2020-12-15 00:00:00+05:30,206.1197,207.8092,200.2306,207.1334,12419020,DLF,,
